id,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
170,1725,元禎,6.09,107.0,12.32,0.73,108/3
171,1726,永記,5.16,107.0,18.23,1.33,108/3
172,1727,中華化,5.74,107.0,34.83,0.79,108/4
173,1730,花仙子,5.72,107.0,11.4,2.35,108/4
174,1731,美吾華,3.82,107.0,17.24,0.99,108/4
175,1732,毛寶,0.0,107.0,48.82,2.38,108/3
176,1733,五鼎,3.65,107.0,,1.46,108/3
177,1734,杏輝,0.52,107.0,,1.17,108/3
178,1735,日勝化,0.89,107.0,16.47,1.16,108/3
179,1736,喬山,1.11,107.0,15.74,2.07,108/3
180,1737,臺鹽,5.85,107.0,18.3,1.01,108/3
181,1760,寶齡富錦,2.34,107.0,30.0,4.5,108/3
182,1762,中化生,3.17,107.0,38.67,1.49,108/3
183,1773,勝一,5.45,107.0,15.54,2.79,108/4
184,1776,展宇,4.6,107.0,37.02,1.22,108/3
185,1783,和康生,3.42,107.0,23.14,1.64,108/3
186,1786,科妍,3.23,107.0,25.65,2.18,108/3
187,1789,神隆,1.63,107.0,91.21,2.31,108/3
188,1795,美時,0.0,107.0,32.61,2.54,108/3
189,1802,台玻,3.35,107.0,,0.64,108/3
190,1805,寶徠,0.0,107.0,,1.39,108/3
191,1806,冠軍,0.0,107.0,,0.39,108/3
192,1808,潤隆,14.08,107.0,946.67,3.7,108/3
193,1809,中釉,2.26,107.0,,0.49,108/3
194,1810,和成,2.87,107.0,,0.46,108/3
195,1817,凱撒衛,7.71,107.0,12.04,1.28,108/4
196,1902,台紙,1.73,107.0,28.93,1.29,108/3
197,1903,士紙,0.0,107.0,,3.06,108/3
198,1904,正隆,4.89,107.0,13.24,1.09,108/3
199,1905,華紙,4.55,107.0,128.33,0.55,108/3
200,1906,寶隆,3.97,107.0,9.26,0.54,108/3
201,1907,永豐餘,4.98,107.0,10.3,0.52,108/3
202,1909,榮成,3.48,107.0,,0.82,108/3
203,2002,中鋼,4.67,107.0,21.4,1.07,108/3
204,2006,東和鋼鐵,5.27,107.0,14.58,0.94,108/4
205,2007,燁興,0.0,107.0,,0.7,108/3
206,2008,高興昌,0.0,107.0,,1.04,108/3
207,2009,第一銅,0.0,107.0,,0.73,108/3
208,2010,春源,5.77,107.0,37.31,0.63,108/3
209,2012,春雨,7.22,107.0,9.78,1.3,108/3
210,2013,中鋼構,2.22,107.0,38.45,0.98,108/3
211,2014,中鴻,1.29,107.0,774.0,0.76,108/4
212,2015,豐興,7.78,107.0,15.25,1.63,108/4
213,2017,官田鋼,5.78,107.0,,0.61,108/3
214,2020,美亞,9.15,107.0,9.62,1.1,108/3
215,2022,聚亨,0.0,107.0,,0.39,108/3
216,2023,燁輝,3.43,107.0,,0.63,108/3
217,2024,志聯,4.88,107.0,68.33,1.05,108/4
218,2025,千興,0.0,107.0,,0.73,108/3
219,2027,大成鋼,10.0,107.0,10.91,1.33,108/3
220,2028,威致,0.0,107.0,10.01,1.2,108/3
221,2029,盛餘,1.35,107.0,132.5,0.69,108/3
222,2030,彰源,10.0,107.0,9.9,0.72,108/3
223,2031,新光鋼,5.62,107.0,,1.32,108/3
224,2032,新鋼,1.67,107.0,24.38,0.61,108/3
225,2033,佳大,2.3,107.0,,0.73,108/3
226,2034,允強,7.16,107.0,13.74,1.31,108/3
227,2038,海光,0.0,107.0,,0.35,108/3
228,2049,上銀,2.83,107.0,29.62,3.37,108/3
229,2059,川湖,2.87,107.0,20.24,2.94,108/4
230,2062,橋椿,1.51,107.0,46.28,0.62,108/4
