id,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
891,9904,寶成            ,"3,913,675","6,865,610","-2,951,935",0.0,0.0,0.0,"25,000",0,"25,000","-287,000","66,000","320,000","-254,000","32,000","65,000","-33,000","-3,213,935"
892,9905,大華            ,"13,000","92,000","-79,000",0.0,0.0,0.0,0,0,0,"-11,000",0,"11,000","-11,000",0,0,0,"-90,000"
893,9906,欣巴巴          ,"1,000","22,000","-21,000",0.0,0.0,0.0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"-20,000"
894,9907,統一實          ,"176,000","572,000","-396,000",0.0,0.0,0.0,0,0,0,"-34,000",0,"34,000","-34,000",0,0,0,"-430,000"
895,9908,大台北          ,"10,000","66,000","-56,000",0.0,0.0,0.0,0,0,0,"5,000","5,000",0,"5,000",0,0,0,"-51,000"
896,9910,豐泰            ,"1,236,245","2,513,090","-1,276,845",0.0,0.0,0.0,"2,000","276,000","-274,000","-76,000","2,000","82,000","-80,000","4,000",0,"4,000","-1,626,845"
897,9911,櫻花            ,"208,000","389,000","-181,000",0.0,0.0,0.0,0,0,0,"20,000","60,000","40,000","20,000",0,0,0,"-161,000"
898,9912,偉聯            ,"17,000","16,000","1,000",0.0,0.0,0.0,0,0,0,"-2,000",0,"2,000","-2,000",0,0,0,"-1,000"
899,9914,美利達          ,"311,000","462,100","-151,100",0.0,0.0,0.0,0,0,0,"-17,000","4,000","11,000","-7,000","2,000","12,000","-10,000","-168,100"
900,9917,中保科          ,"25,000","255,000","-230,000",0.0,0.0,0.0,"1,000",0,"1,000","-2,000",0,"2,000","-2,000",0,0,0,"-231,000"
901,9918,欣天然          ,"1,000","13,000","-12,000",0.0,0.0,0.0,0,0,0,"3,000","3,000",0,"3,000",0,0,0,"-9,000"
902,9919,康那香          ,"1,256,000","1,031,000","225,000",0.0,0.0,0.0,0,0,0,"-4,000",0,"4,000","-4,000",0,0,0,"221,000"
903,9921,巨大            ,"1,014,816","1,230,000","-215,184",0.0,0.0,0.0,"2,000",0,"2,000","-37,000","2,000","39,000","-37,000",0,0,0,"-250,184"
904,9924,福興            ,"36,000","260,000","-224,000",0.0,0.0,0.0,0,0,0,"-10,000",0,"10,000","-10,000",0,0,0,"-234,000"
905,9925,新保            ,"8,000","153,170","-145,170",0.0,0.0,0.0,0,0,0,"-6,000","1,000","7,000","-6,000",0,0,0,"-151,170"
906,9926,新海            ,0,"18,000","-18,000",0.0,0.0,0.0,0,0,0,"3,000","3,000",0,"3,000",0,0,0,"-15,000"
907,9927,泰銘            ,"10,000","80,000","-70,000",0.0,0.0,0.0,0,0,0,"-13,000",0,"13,000","-13,000",0,0,0,"-83,000"
908,9929,秋雨            ,0,"11,000","-11,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-11,000"
909,9930,中聯資源        ,"11,000","56,000","-45,000",0.0,0.0,0.0,0,0,0,"-5,000",0,"5,000","-5,000",0,0,0,"-50,000"
910,9931,欣高            ,"1,000","8,000","-7,000",0.0,0.0,0.0,0,0,0,"3,000","3,000",0,"3,000",0,0,0,"-4,000"
911,9933,中鼎            ,"166,000","493,000","-327,000",0.0,0.0,0.0,0,0,0,0,"16,000","16,000",0,0,0,0,"-327,000"
912,9934,成霖            ,"85,000","593,000","-508,000",0.0,0.0,0.0,0,0,0,0,"23,000","23,000",0,0,0,0,"-508,000"
913,9935,慶豐富          ,"875,000","431,000","444,000",0.0,0.0,0.0,0,0,0,"-50,000","1,000","51,000","-50,000",0,0,0,"394,000"
914,9937,全國            ,"3,000","11,000","-8,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-8,000"
915,9938,百和            ,"369,000","910,000","-541,000",0.0,0.0,0.0,0,"130,000","-130,000","-61,000","22,000","33,000","-11,000","2,000","52,000","-50,000","-732,000"
916,9939,宏全            ,"229,000","582,000","-353,000",0.0,0.0,0.0,0,0,0,"-62,000","62,000","77,000","-15,000","8,000","55,000","-47,000","-415,000"
917,9940,信義            ,"78,000","245,000","-167,000",0.0,0.0,0.0,0,0,0,"-7,000",0,"7,000","-7,000",0,0,0,"-174,000"
918,9941,裕融            ,"174,000","296,000","-122,000",0.0,0.0,0.0,"1,000",0,"1,000","-8,000",0,"8,000","-8,000",0,0,0,"-129,000"
919,9942,茂順            ,"9,000","48,000","-39,000",0.0,0.0,0.0,0,0,0,"-4,000",0,"4,000","-4,000",0,0,0,"-43,000"
920,9943,好樂迪          ,"22,000","75,000","-53,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-53,000"
921,9944,新麗            ,"371,000","91,000","280,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"280,000"
922,9945,潤泰新          ,"974,812","1,373,000","-398,188",0.0,0.0,0.0,0,0,0,"-52,000","34,000","86,000","-52,000",0,0,0,"-450,188"
923,9946,三發地產        ,"1,786,000","626,000","1,160,000",0.0,0.0,0.0,0,0,0,"-18,000",0,"18,000","-18,000",0,0,0,"1,142,000"
924,9955,佳龍            ,"198,000","122,000","76,000",0.0,0.0,0.0,0,0,0,0,"1,000","1,000",0,0,0,0,"76,000"
925,9958,世紀鋼          ,"2,620,000","1,233,000","1,387,000",0.0,0.0,0.0,"855,000",0,"855,000","-586,000","49,000","363,000","-314,000","205,000","477,000","-272,000","1,656,000"
