公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
8163,達方,-,-21.96,1379971,-0.79,1085504,1076841,-6.31,2622285,2456812
8210,勤誠,-,-31.29,464809,-17.11,385262,319325,-21.59,1000051,784134
9912,偉聯,-,37.07,33140,-10.72,50883,45425,-14.81,92226,78565
2323,中環,因109年增加Verbatim品牌業務之事業體，故109年併入其營收。,-12.48,956350,62.25,515837,836949,49.73,1197663,1793299
2340,光磊,-,-14.56,404554,18.98,290474,345628,4.59,717200,750182
2349,錸德,-,-3.59,513459,-7.57,535562,495011,-23.66,1321149,1008470
2374,佳能,2020年2月與去年同期差異達50%以上說明：1.安控產品客戶出貨量下修。2.消費型數位相機出貨持續萎縮。,-25.65,237097,-60.83,450083,176273,-66.04,1217314,413370
2393,億光,-,-29.39,1607148,-14.38,1325420,1134767,-17.3,3315838,2741915
2406,國碩,-,-11.7,720880,29.0,493350,636467,-2.06,1385986,1357347
2409,友達,-,14.18,15491047,-14.88,20782924,17688726,-21.59,42315745,33179773
2426,鼎元,-,-13.49,167147,-6.14,154068,144595,-15.31,368128,311742
2438,翔耀,-,60.84,23185,17.07,31853,37291,-10.51,67586,60476
2448,晶電,-,8.87,970179,-0.42,1060852,1056317,-12.98,2328797,2026496
2466,冠西電,主係去年同期之機上盒收入較本期減少所致,-21.31,51196,-80.58,207513,40282,-80.8,476483,91478
2486,一詮,-,-33.15,287007,-13.52,221864,191854,-10.45,534784,478861
2489,瑞軒,-,-36.03,1176427,30.1,578418,752527,12.87,1708961,1928954
2491,吉祥全,-,-35.22,27795,-13.51,20817,18003,-24.14,60379,45798
3008,大立光,-,-10.63,4110169,44.72,2537932,3672912,31.88,5897606,7777903
3019,亞光,-,-23.76,1007863,-30.47,1105213,768359,-31.65,2598949,1776222
3024,憶聲,-,-17.89,96609,21.04,65532,79322,-17.52,213325,175931
3031,佰鴻,-,-7.91,73938,-8.05,74054,68086,-35.72,220952,142024
3038,全台,-,-17.06,294475,3.02,237053,244214,-6.09,573636,538689
3049,和鑫,-,-20.23,329996,4.63,251553,263213,25.84,471397,593209
3050,鈺德,108年9月26日子公司厚聚能源開發取得錸洋科技股權，經由會計師事務所重編107年及108年合併報表 ，因此更新合併後相關營收數。,12.56,76483,24.99,68879,86093,9.54,148415,162576
3051,力特,-,-0.77,180558,4.64,171201,179155,-4.15,375296,359713
3059,華晶科,-,-22.18,421600,-26.65,447267,328057,-37.46,1198793,749657
3149,正達,2020年2月營收較去年同期減少50.85%原因，主係新冠肺炎疫情影響，導致營收銳減。,-23.9,130994,-42.74,174107,99685,-50.85,469369,230679
3356,奇偶,-,24.02,99649,13.49,108895,123587,-4.29,233255,223237
3383,新世紀,-,-41.4,56647,-33.95,50261,33194,-11.44,101449,89842
3406,玉晶光,因客戶需求較去年同期增加，致使公司本月營收優於去年同期。,-29.34,981350,214.7,220329,693377,159.16,646213,1674728
3437,榮創,客戶需求變化,-3.74,326722,52.16,206659,314470,9.23,587010,641192
3454,晶睿,-,0.96,492617,13.4,438596,497374,-8.38,1080621,989991
3481,群創,-,-14.77,16581800,-22.09,18141750,14132474,-21.94,39350033,30714274
3504,揚明光,主要係部份產品收入改以淨額法認列及受新冠病毒疫情影響，大陸子公司工作天數與可上工人數減少，造成產能及出貨減少。,-33.61,241365,-51.58,330906,160221,-45.39,735463,401586
3535,晶彩科,本公司以銷售機台為主，109年02月出售機台較去年同期減少，此為產業特性，尚屬正常。,29.44,69403,-71.03,310143,89836,-67.1,484054,159239
3543,州巧,-,-13.57,226114,11.71,174937,195430,-7.09,453756,421544
3563,牧德,-,5.38,210983,4.74,212280,222348,3.52,418587,433331
3576,聯合再生,-,57.72,690086,-28.41,1520403,1088432,-31.7,2604121,1778519
3591,艾笛森,-,-19.14,130232,-43.22,185469,105302,-47.39,447762,235534
3622,洋華,-,-34.04,51050,3.89,32408,33671,-14.98,99650,84721
3669,圓展,-,7.01,130571,0.99,138351,139729,-10.08,300614,270300
3698,隆達,-,-27.86,613215,-27.62,611233,442362,-27.85,1463072,1055577
4934,太極,-,-4.15,172021,-5.55,174560,164867,4.1,323616,336888
4942,嘉彰,-,-35.75,491571,-46.76,593211,315805,-33.86,1220806,807376
4956,光鋐,-,-7.72,77878,-19.64,89424,71860,-13.52,173151,149738
4960,誠美材,"108年12月後,原重要子公司昆山之奇美材料科技有限公司改列為轉投資公司,故其營業收入無須再併入本公司營收合併申報。",-22.89,652800,-56.86,1166891,503326,-55.74,2612554,1156126
4976,佳凌,-,-7.36,75724,-15.89,83403,70146,-31.94,214354,145870
5234,達興材料,-,-0.71,363210,7.25,336214,360596,-2.38,741488,723806
5484,慧友,-,1.21,20468,-16.4,24782,20717,-22.6,53213,41185
6116,彩晶,-,-8.43,1104346,14.78,880939,1011176,2.88,2056218,2115522
6120,達運,-,-24.75,977917,-44.2,1318757,735823,-39.13,2815649,1713740
6131,鈞泰,持股淨值變動,-226.4,-462,-148.47,3111,-1508,-146.33,4254,-1971
6164,華興,-,-50.07,76969,-15.68,45569,38423,-20.02,144284,115392
6168,宏齊,-,0.18,204679,1.59,201829,205049,-1.4,415549,409728
6176,瑞儀,因受武漢肺炎疫情影響，子公司配合當地政府延長春節假期，致工作天數減少，影響本公司營收結果較去年同期減少。,-50.58,3482446,-56.56,3962570,1721009,-45.62,9569357,5203455
6209,今國光,-,-17.54,186566,-11.69,174223,153840,-33.23,509873,340406
6225,天瀚,-,-16.23,573,-24.17,633,480,-44.04,1882,1053
6226,光鼎,-,-38.57,55684,-45.26,62495,34204,-32.92,134005,89888
6278,台表科,-,-13.66,2810024,3.63,2340948,2426084,-7.87,5683887,5236108
6289,華上,-,32.02,4475,-42.23,10227,5908,-48.74,20259,10383
6405,悅城,-,11.33,24900,-15.72,32894,27723,-23.91,69163,52623
6443,元晶,-,-0.44,314305,-20.9,395621,312900,-17.33,758726,627205
6477,安集,本月模組銷售量較去年同期減少，故整體合併營收下降。,48.38,46669,-40.99,117373,69252,-53.37,248616,115921
6668,中揚光,訂單增加，營收成長,41.91,99420,138.73,59101,141092,81.31,132648,240512
6706,惠特,-,4.7,293821,37.22,224194,307645,6.1,566844,601466
8104,錸寶,主要係因中國後段模組廠受新型冠狀病毒影響延遲復工所致。,-43.0,94555,-64.21,150624,53896,-55.1,330698,148451
8105,凌巨,-,-19.05,558850,0.62,449573,452380,-14.06,1176783,1011230
8215,明基材,-,-11.64,1084535,-11.78,1086283,958290,-10.02,2270495,2042825
2314,台揚,本公司之大陸子公司於2月10日如期開工，但其上游供應鏈之部分廠商無法如期復工，導致原物料短缺，營收減少。,-44.74,374659,-59.75,514393,207031,-50.89,1185077,581902
2321,東訊,-,-12.49,85799,-38.42,121932,75078,-43.41,284292,160877
2332,友訊,-,5.04,1180303,-6.14,1321117,1239894,-8.39,2641924,2420197
2345,智邦,-,-7.52,3674679,17.85,2883249,3397996,4.63,6759385,7072675
2412,中華電,-,-4.9,16696282,-3.87,16518734,15877867,-4.61,34148445,32574150
2419,仲琦,因肺炎疫情影響，客戶拉貨需求調整,-28.08,466414,-72.15,1204784,335433,-57.7,1896036,801847
2439,美律,-,-61.68,1853159,-45.86,1311738,710110,-39.41,4230678,2563269
2444,兆勁,本公司穩健原有的網通事業外，亦積極拓展記憶體事業部業務，故致營收較去年成長,-0.09,143016,83.41,77899,142875,61.28,177253,285891
2450,神腦,-,-5.67,2422784,-1.92,2330196,2285249,-7.59,5095195,4708033
2455,全新,客戶需求增加,-4.1,217250,52.76,136370,208324,52.41,279225,425574
2485,兆赫,-,-0.49,365560,-8.79,398813,363745,-32.22,1076131,729305
2498,宏達電,-,-12.37,478357,-32.95,625193,419146,-44.96,1630874,897503
3025,星通,海外客戶需求較去年增加,-51.59,76447,30.87,28273,37003,114.16,52974,113450
3027,盛達,-,23.44,44983,-2.07,56704,55529,-7.09,108187,100512
3045,台灣大,-,-2.41,10805501,11.81,9430726,10544639,7.05,19943403,21350140
3047,訊舟,-,-12.08,381448,-16.17,400073,335347,-29.44,1016001,716795
3062,建漢,因武漢肺炎影響，本公司大陸廠區延至2/19日才陸續復工，故造成今年2月營收較去年同期減少。,-42.11,347337,-51.0,410325,201057,-49.87,1094024,548394
3311,閎暉,-,-32.23,182307,-20.91,156198,123536,-19.75,381149,305843
3380,明泰,-,-36.38,1643660,15.81,902877,1045653,34.79,1995164,2689313
3419,譁裕,-,-52.68,118708,-32.3,82966,56164,-21.48,222728,174872
3596,智易,-,-25.03,2656331,-25.23,2663610,1991316,-25.39,6229944,4647647
3682,亞太電,-,-7.43,1157329,-2.27,1096227,1071327,-3.97,2320932,2228656
3694,海華,-,-1.77,383960,5.69,356806,377128,-18.75,936749,761088
3704,合勤控,本月營收較去年同期減少，主係本月寬頻接取及光纖設備產品出貨減少。,-27.63,1460795,-50.11,2119135,1057066,-44.36,4525541,2517861
4904,遠傳,-,-8.65,6819232,-4.48,6521560,6229272,-5.49,13807859,13048504
4906,正文,因武漢肺炎停工，且復工尚未完全恢復。,-51.06,944226,-55.63,1041661,462085,-47.24,2665931,1406311
5388,中磊,-,5.92,2129587,21.23,1860687,2255788,3.1,4253267,4385375
6136,富爾特,-,-52.36,86080,-45.61,75397,41003,-21.5,161899,127083
6142,友勁,-,-43.58,208504,-7.34,126945,117625,-29.84,464898,326129
6152,百一,客戶需求減少及工作天期減少所致,-41.79,156951,-34.79,140095,91348,-55.07,552695,248299
6216,居易,-,107.57,39748,40.11,58884,82505,-0.21,122519,122253
6285,啟��,-,-26.67,4907168,-5.9,3824325,3598412,-2.39,8714654,8505580
6416,瑞祺電通,因新增合併兩家子公司營業收入淨額，致使本年累計營收增幅百分比達50%以上。,-23.48,448734,47.59,232617,343337,52.23,520302,792071
6442,光聖,-,6.51,172075,35.93,134833,183288,-20.5,447020,355363
6674,鋐寶科技,-,-13.68,191098,-31.79,241827,164950,-25.31,476738,356048
8011,台通,-,35.85,87154,30.35,90833,118407,-10.32,229220,205561
