公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收,date
2548,華固,本公司截至8月底累計營收較去年同期減少，係因本期認列交屋金額較低所致。,37.0,550763,-75.7,3106097,754561,-15.15,10775475,9142232,2020-09
2597,潤弘,-,8.27,1101351,13.04,1054901,1192502,19.57,6660309,7963815,2020-09
2841,台開,-,3.7,33325,-12.5,39500,34560,-14.78,266040,226700,2020-09
3052,夆典,本期主係機電工程及營建收入較去年同期增加,-4.29,622246,243.52,173357,595532,344.94,821193,3653822,2020-09
3056,總太,本月營收減少係因無建案交屋。,-93.76,28564,-99.88,1569714,1780,-42.56,2852434,1638280,2020-09
3266,昇陽,-,-46.43,482655,11.16,232561,258519,25.28,1342340,1681752,2020-09
3703,欣陸,-,-8.88,1988462,31.53,1377401,1811746,-17.31,15405403,12738221,2020-09
5515,建國,1.以上申報之合併營收已排除停業單位營收。2.廠辦及公宅工程投入提昇，整體營收較去年同期增加。,-7.52,641136,65.29,358695,592889,51.83,2922380,4437223,2020-09
5519,隆大,"本公司因108年出售J23、J26案之土地完成所有權登記程序認列收入,以致去年累計營收較高。",9.26,117888,7.11,120260,128812,-51.08,2498789,1222190,2020-09
5521,工信,無,94.24,125205,-35.21,375380,243208,136.37,2633894,6225859,2020-09
5522,遠雄,-,16.12,2235271,29.24,2008292,2595696,13.52,13244961,15035966,2020-09
5525,順天,本月母公司主要營收為硯山行案成屋收入,55.49,53958,-46.83,157800,83901,-56.76,1690563,730915,2020-09
5531,鄉林,建設業之銷售進度及狀況深受景氣榮枯及市場現狀影響，且建築個案之完工時間並非固定時點，故月營收的表現上會有較大之波動。,31.93,271794,-33.83,541926,358581,-38.62,3022534,1854941,2020-09
5533,皇鼎,累計營收較去年同期增加達50%以上，係兩期個案營收組成因子不同。,-79.03,266068,-34.85,85629,55782,72.06,1151977,1982191,2020-09
5534,長虹,本月較去年同期減少，係因「天際」、「天璽」個案減少完成產權移轉予客戶認列收入所致。,4.97,379793,-6.55,426659,398675,-24.84,5803503,4361552,2020-09
6177,達麗,本期較去年同期減少，主係本期餘屋銷售成交量及本期完工建案規模不及去年同期所致。,34.89,88128,-16.63,142613,118884,-63.69,5305220,1926043,2020-09
9906,欣巴巴,因有個案銷售認列收入。,-99.86,9184,-99.85,8106,12,180.15,16831,47153,2020-09
9946,三發地產,"本期營收較去年同期減少約20,524萬，係因去年同期預售案完工大量交屋認列營收。",57.47,73318,-63.99,320703,115460,-68.96,3676240,1140757,2020-09
2208,台船,主要係艦艇業務依進度認列營收所致,6.16,2248381,51.21,1578555,2387022,69.38,10054384,17031089,2020-09
2603,長榮,-,10.56,17085764,16.96,16150698,18891195,-1.93,125781232,123345023,2020-09
2605,新興,-,-11.75,384595,-3.72,352512,339375,24.68,2361166,2944040,2020-09
