證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
2107,厚生,4.17,108.0,8.81,0.64,109/2,2020-09-29
2108,南帝,4.13,108.0,18.44,3.13,109/2,2020-09-29
2109,華豐,0.0,108.0,48.0,1.45,109/2,2020-09-29
2114,鑫永銓,6.24,108.0,14.72,2.6,109/2,2020-09-29
2115,六暉-KY,6.74,108.0,6.37,1.41,109/2,2020-09-29
2201,裕隆,0.0,108.0,,0.79,109/2,2020-09-29
2204,中華,0.0,108.0,,0.58,109/2,2020-09-29
2206,三陽工業,4.49,108.0,17.44,1.33,109/2,2020-09-29
2207,和泰車,2.24,108.0,26.39,6.04,109/2,2020-09-29
2208,台船,0.0,108.0,,1.92,109/2,2020-09-29
2227,裕日車,8.7,108.0,12.53,4.45,109/2,2020-09-29
2228,劍麟,6.49,108.0,16.4,1.68,109/2,2020-09-29
2231,為升,4.6,108.0,42.18,6.41,109/2,2020-09-29
2233,宇隆,4.67,108.0,15.34,1.7,109/2,2020-09-29
2236,百達-KY,2.41,108.0,23.29,0.68,109/2,2020-09-29
2239,英利-KY,3.31,108.0,25.95,0.89,109/2,2020-09-29
2241,艾姆勒,1.73,108.0,80.95,3.63,109/2,2020-09-29
2243,宏旭-KY,0.0,108.0,,0.7,109/2,2020-09-29
2301,光寶科,7.03,108.0,10.04,1.54,109/2,2020-09-29
2302,麗正,0.0,108.0,,1.46,109/2,2020-09-29
2303,聯電,2.91,108.0,21.32,1.6,109/2,2020-09-29
2305,全友,0.0,108.0,189.25,0.72,109/2,2020-09-29
2308,台達電,2.7,108.0,24.18,3.61,109/2,2020-09-29
2312,金寶,2.94,108.0,47.95,0.99,109/2,2020-09-29
2313,華通,2.89,108.0,10.23,1.92,109/2,2020-09-29
2314,台揚,0.0,108.0,,1.98,109/2,2020-09-29
2317,鴻海,5.45,108.0,10.32,0.91,109/2,2020-09-29
2321,東訊,0.0,108.0,,4.74,109/2,2020-09-29
2323,中環,2.57,108.0,,0.48,109/2,2020-09-29
2324,仁寶,6.2,108.0,13.16,0.83,109/2,2020-09-29
2327,國巨,3.75,108.0,19.99,2.7,109/2,2020-09-29
2328,廣宇,5.85,108.0,11.63,0.86,109/2,2020-09-29
2329,華泰,1.47,108.0,204.0,0.99,109/2,2020-09-29
2330,台積電,2.2,108.0,24.57,6.5,109/2,2020-09-29
2331,精英,0.0,108.0,27.81,0.69,109/2,2020-09-29
2332,友訊,0.0,108.0,,1.45,109/2,2020-09-29
2337,旺宏,3.72,108.0,11.51,1.8,109/2,2020-09-29
2338,光罩,3.6,108.0,34.69,2.01,109/2,2020-09-29
2340,光磊,4.37,108.0,16.96,1.23,109/2,2020-09-29
2342,茂矽,0.0,108.0,,2.6,109/2,2020-09-29
2344,華邦電,0.73,108.0,54.8,0.92,109/2,2020-09-29
2345,智邦,2.8,108.0,24.64,10.77,109/2,2020-09-29
2347,聯強,6.36,108.0,9.56,1.45,109/2,2020-09-29
2348,海悅,4.77,108.0,9.55,3.95,109/2,2020-09-29
2351,順德,3.1,108.0,35.37,1.96,109/2,2020-09-29
2352,佳世達,4.1,108.0,12.71,1.1,109/2,2020-09-29
2353,宏碁,3.16,108.0,22.61,1.33,109/2,2020-09-29
2354,鴻準,4.87,108.0,11.3,0.76,109/2,2020-09-29
2355,敬鵬,3.65,108.0,26.1,0.73,109/2,2020-09-29
2356,英業達,5.84,108.0,11.18,1.44,109/2,2020-09-29
2357,華碩,5.61,108.0,12.8,1.08,109/2,2020-09-29
2358,廷鑫,1.27,108.0,65.83,1.19,109/2,2020-09-29
2359,所羅門,4.37,108.0,17.43,0.7,109/2,2020-09-29
