證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16,date
3383,新世紀,"91,506",37,"361,177",4.44,4.44,3.86,3.99,-,0.29,--,0,3.99,3,0.00,,2020-03-19
3406,玉晶光,"16,018,021","11,839","5,038,912,258",335.00,337.00,297.50,297.50,-,33.0,--,0,297.50,963,16.54,,2020-03-19
3413,京鼎,"2,308,770","1,790","219,355,646",103.00,103.00,92.70,92.70,-,10.3,--,0,92.70,74,11.81,,2020-03-19
3416,融程電,"403,601",156,"19,510,298",48.40,49.25,47.20,48.90,-,0.85,48.90,2,49.00,5,14.64,,2020-03-19
3419,譁裕,"1,258,137",420,"11,070,552",9.00,9.11,8.74,8.74,-,0.97,--,0,8.74,138,0.00,,2020-03-19
3432,台端,"240,000",81,"2,013,560",8.50,8.59,8.30,8.30,-,0.73,8.30,8,8.36,1,12.21,,2020-03-19
3437,榮創,"2,035,062",752,"20,191,932",10.50,10.65,9.81,9.81,-,1.09,--,0,9.81,35,0.00,,2020-03-19
3443,創意,"2,413,751","1,550","399,482,160",177.50,178.50,160.00,160.00,-,17.5,--,0,160.00,274,33.83,,2020-03-19
3450,聯鈞,"10,520,272","6,681","578,481,244",57.80,59.30,52.00,52.30,-,5.4,52.30,15,52.40,1,26.15,,2020-03-19
3454,晶睿,"576,963",449,"34,146,620",59.10,61.40,58.70,58.70,-,6.5,--,0,58.70,3,18.58,,2020-03-19
3481,群創,"196,409,381","22,821","1,016,299,648",5.51,5.52,5.08,5.08,-,0.56,--,0,5.08,"8,415",0.00,,2020-03-19
3494,誠研,"794,079",149,"2,366,277",3.12,3.12,2.90,3.01,-,0.21,2.93,40,3.00,10,0.00,,2020-03-19
3501,維熹,"364,570",269,"13,401,584",38.30,38.30,35.40,35.95,-,3.05,35.90,12,35.95,2,7.44,,2020-03-19
3504,揚明光,"1,077,038",698,"42,041,212",40.05,40.90,38.35,38.35,-,4.25,--,0,38.35,248,958.75,,2020-03-19
3515,華擎,"5,256,938","4,458","447,794,861",87.30,90.50,80.00,80.90,-,6.1,80.90,2,81.00,2,16.34,,2020-03-19
3518,柏騰,"1,531,366",558,"25,224,881",17.70,17.70,16.35,16.35,-,1.8,--,0,16.35,15,0.00,,2020-03-19
3528,安馳,"191,575",115,"6,368,809",34.85,34.85,32.50,32.80,-,2.2,32.60,12,32.80,7,12.71,,2020-03-19
3530,晶相光,"2,005,021","1,307","127,938,701",66.00,66.00,62.10,62.10,-,6.8,--,0,62.10,386,31.05,,2020-03-19
3532,台勝科,"6,675,234","4,941","863,490,357",133.00,136.50,121.50,126.00,-,7.5,126.00,15,126.50,5,22.99,,2020-03-19
3533,嘉澤,"2,109,523","1,574","456,890,589",230.00,236.00,210.50,210.50,-,23.0,--,0,210.50,70,11.13,,2020-03-19
3535,晶彩科,"1,462,482",676,"14,292,017",10.20,10.30,9.54,9.54,-,1.06,--,0,9.54,52,3.28,,2020-03-19
3536,誠創,"28,100",12,"81,228",2.90,2.90,2.89,2.89,-,0.32,--,0,2.89,79,0.00,,2020-03-19
3545,敦泰,"7,636,059","3,287","192,854,931",26.65,26.75,24.50,25.10,-,2.0,25.10,24,25.15,29,0.00,,2020-03-19
3550,聯穎,"1,098,230",211,"10,322,210",10.00,10.00,9.22,9.32,-,0.73,9.32,2,9.33,1,18.64,,2020-03-19
3557,嘉威,"568,978",291,"19,863,661",36.80,36.80,34.65,34.65,-,3.85,--,0,34.65,52,61.88,,2020-03-19
3563,牧德,"2,172,652","1,870","447,516,920",219.50,219.50,201.50,201.50,-,22.0,201.50,13,202.00,3,10.07,,2020-03-19
3576,聯合再生,"15,328,998","3,068","68,000,443",4.73,4.80,4.32,4.33,-,0.47,4.33,85,4.34,15,0.00,,2020-03-19
3583,辛耘,"946,054",568,"32,856,040",36.10,36.50,34.10,34.10,-,3.75,34.10,6,34.20,2,8.48,,2020-03-19
3588,通嘉,"762,091",455,"14,933,916",20.80,20.80,19.10,20.70,-,0.5,20.15,1,20.70,5,59.14,,2020-03-19
3591,艾笛森,"1,197,086",209,"9,069,948",7.85,8.07,7.53,7.55,-,0.81,7.55,17,7.57,25,0.00,,2020-03-19
3593,力銘,"100,026",57,"713,172",7.70,7.70,7.11,7.12,-,0.78,--,0,7.11,3,0.00,,2020-03-19
3596,智易,"4,803,313","3,322","277,146,558",59.30,60.20,55.00,56.30,-,4.4,56.30,27,56.50,1,8.94,,2020-03-19
3605,宏致,"1,853,580",733,"30,636,422",17.70,17.70,16.25,16.25,-,1.8,16.25,38,16.35,6,6.32,,2020-03-19
3607,谷崧,"579,223",277,"4,541,080",8.06,8.22,7.71,7.71,-,0.85,7.71,19,7.72,7,0.00,,2020-03-19
3617,碩天,"733,325",509,"50,675,725",74.00,74.00,68.30,68.30,-,7.5,--,0,68.30,9,8.41,,2020-03-19
3622,洋華,"1,284,223",360,"19,201,216",15.95,15.95,14.55,14.80,-,1.35,14.80,13,14.95,14,23.49,,2020-03-19
3645,達邁,"1,096,396",635,"26,462,347",25.20,25.25,23.85,23.85,-,2.65,--,0,23.85,40,29.09,,2020-03-19
3653,健策,"5,584,651","3,173","735,472,328",141.00,142.00,128.00,128.00,-,14.0,--,0,128.00,"1,352",22.22,,2020-03-19
3661,世芯-KY,"8,923,400","6,096","1,378,600,885",162.00,164.00,148.50,148.50,-,16.5,--,0,148.50,614,40.24,,2020-03-19
3665,貿聯-KY,"3,844,144","2,610","529,635,440",145.00,147.00,133.50,133.50,-,14.5,--,0,133.50,83,8.78,,2020-03-19
3669,圓展,"1,828,019",670,"38,480,145",21.10,22.00,20.85,20.85,-,2.3,--,0,20.85,258,42.55,,2020-03-19
3673,TPK-KY,"7,225,670","3,542","234,557,440",35.10,35.30,31.70,31.70,-,3.5,--,0,31.70,337,25.77,,2020-03-19
3679,新至陞,"272,400",201,"11,597,570",44.00,44.10,41.00,41.30,-,4.15,41.30,10,41.65,1,7.62,,2020-03-19
3682,亞太電,"10,518,764","2,759","53,899,689",5.46,5.50,5.05,5.05,-,0.56,--,0,5.05,46,0.00,,2020-03-19
3686,達能,"722,527",293,"2,146,399",3.26,3.26,2.95,2.95,-,0.32,--,0,2.95,64,0.00,,2020-03-19
3694,海華,"310,000",161,"3,396,000",11.10,11.75,10.85,10.85,-,1.2,--,0,10.85,36,0.00,,2020-03-19
3698,隆達,"3,320,309","1,130","32,987,069",10.65,10.65,9.77,9.77,-,1.08,--,0,9.77,45,0.00,,2020-03-19
3701,大眾控,"34,998",19,"398,225",11.55,11.55,11.35,11.35,-,1.25,--,0,11.35,9,15.13,,2020-03-19
3702,大聯大,"10,344,131","4,681","340,570,778",33.45,34.35,31.45,31.45,-,3.45,--,0,31.45,47,9.36,,2020-03-19
3702A,大聯大甲特,"1,314,309",509,"58,980,890",48.00,48.00,43.40,43.40,-,4.8,--,0,43.40,89,0.00,,2020-03-19
3703,欣陸,"1,982,510",515,"18,365,489",9.97,9.97,9.10,9.12,-,0.85,9.12,86,9.17,16,17.21,,2020-03-19
3704,合勤控,"6,223,145","2,844","69,185,598",11.40,11.45,10.70,11.15,-,0.45,11.15,61,11.20,25,44.60,,2020-03-19
3705,永信,"1,337,925",768,"50,450,243",39.00,39.00,36.55,37.10,-,2.35,37.10,5,37.15,2,14.55,,2020-03-19
3706,神達,"26,783,350","11,615","636,672,594",25.10,25.10,23.40,23.40,-,2.6,--,0,23.40,129,8.80,,2020-03-19
3708,上緯投控,"1,674,164","1,358","87,794,932",56.00,56.00,51.20,51.20,-,5.6,--,0,51.20,38,5.71,,2020-03-19
3711,日月光投控,"26,286,247","10,280","1,331,509,146",53.00,53.30,49.95,50.20,-,5.3,50.10,148,50.30,18,12.68,,2020-03-19
3712,永崴投控,"1,958,624",812,"17,959,888",9.72,9.80,9.09,9.09,-,1.01,9.09,2,9.15,2,0.00,,2020-03-19
4104,佳醫,"956,488",717,"44,988,536",48.60,48.60,46.00,46.40,-,3.2,46.30,2,46.40,2,11.63,,2020-03-19
4106,雃博,"793,031",504,"13,491,309",18.20,18.45,16.30,16.35,-,1.75,16.35,4,16.40,7,15.87,,2020-03-19
4108,懷特,"700,903",300,"7,659,261",12.00,12.00,10.80,10.80,-,1.2,--,0,10.80,101,0.00,,2020-03-19
4119,旭富,"3,377,304","2,314","291,009,959",92.30,92.30,83.70,83.70,-,9.3,83.70,219,83.90,3,11.66,,2020-03-19
